Rows,Change_MontipHard12,Change_AcropHard12,Change_PocHard12,Change_PavonaHard12,Change_PoritesHard12
A11X1AmbientIntact,-8.986175115207374,-5.4312047399605,-7.340355497037525,1.1685319289005924,-0.8229098090849243
A12X2AmbientIntact,-14.760451884225283,-3.9251257524532033,-21.841070888650677,-1.3276160633297598,-0.9950248756218906
A13X3AmbientIntact,-15.348837209302326,-3.046511627906977,-11.906976744186046,-3.255813953488372,-3.255813953488372
A1OpenAmbientIntact,-9.927679158448388,-2.898550724637681,-25.96689820770088,-0.8575593859874796,-4.021953520281279
A21X1EnrichedIntact,-7.18475073313783,-2.1831215379602473,8.97686542847833,-1.1078527207559463,-3.763440860215054
A22X2EnrichedIntact,-15.121951219512194,0.6050912968146076,-7.077169132347063,-0.8583233373317338,-0.4291616686658669
A23X3EnrichedIntact,-16.900341038272074,4.130352406214476,-11.197423266388785,-2.955665024630542,-2.955665024630542
A2OpenEnrichedIntact,-10.443164318713283,-1.4144755603718702,-2.041863913762622,-0.34506359436491185,-1.4686590999828892
A31X1EnrichedDisturbed,9.032891507118313,4.639175257731959,5.670103092783505,1.5463917525773196,1.0309278350515463
A32X2EnrichedDisturbed,12.233169129720851,4.6875,4.6875,0.5208333333333333,1.5625
A33X3EnrichedDisturbed,-2.773431507899984,1.8867924528301887,5.031446540880504,2.515723270440252,0.282251879122565
A3OpenEnrichedDisturbed,1.9540942928039704,2.6881720430107525,3.225806451612903,6.989247311827956,1.0752688172043012
A41X1AmbientDisturbed,4.25531914893617,3.723404255319149,4.787234042553192,0.06243132554190389,0
A42X2AmbientDisturbed,-3.415750915750915,1.9047619047619049,5.238095238095238,1.423992673992674,-0.48534798534798534
A43X3AmbientDisturbed,-12.583979328165375,4.545454545454546,2.525252525252525,3.0303030303030303,1.0500352360817478
A4OpenAmbientDisturbed,1.0139756170086232,1.5789473684210527,1.0526315789473684,0.5263157894736842,0.5263157894736842
B11X1EnrichedDisturbed,38.05788271134806,7.6923076923076925,10.256410256410255,0.05331302361005341,0
B12X2EnrichedDisturbed,9.037387293419558,2.5380710659898478,4.568527918781726,1.015228426395939,0.5076142131979695
B13X3EnrichedDisturbed,10.288949629051151,4.595372901210465,7.1065989847715745,2.5380710659898478,1.0689183912534164
B1OpenEnrichedDisturbed,-12.693990329265485,0.9900990099009901,5.445544554455446,0.02993322588072761,0.49504950495049505
B21X1AmbientDisturbed,9.247706422018348,20.5,9,4,0.5
